,full_name,brand,capacity,cycle,size,energy_usage,blanket,wifi,load_sensor,delay,control_panel,vapor,anti_alergy,baby_p,sensitive_p,child_lock,price,image
0,Bosch WGA142X1TR 1200,Bosch,Orta Kapasite,Orta Devir,Standart Boyut,Az Önemli,VAR,YOK,YOK,VAR,VAR,YOK,VAR,YOK,VAR,VAR,4789.0, https://cdn.akakce.com/bosch/bosch-wga142x1tr-1200-devir-9-kg-z.jpg
1,Bosch WAU24T90TR 9,Bosch,Orta Kapasite,Orta Devir,Standart Boyut,Az Önemli,YOK,YOK,VAR,VAR,VAR,YOK,VAR,YOK,VAR,VAR,4400.0, https://cdn.akakce.com/bosch/bosch-wau24t90tr-9-kg-1200-devir-z.jpg
2,Samsung WW4000T WW90T4020CE/AH,Samsung,Orta Kapasite,Orta Devir,Standart Boyut,Önemsiz,YOK,YOK,YOK,YOK,VAR,VAR,YOK,YOK,YOK,VAR,4249.0, https://cdn.akakce.com/samsung/samsung-ww4000t-ww90t4020ce-ah-1200-devir-9-kg-z.jpg
3,Bosch WGA252X0TR 1200,Bosch,Orta Kapasite,Orta Devir,Standart Boyut,Az Önemli,VAR,YOK,YOK,VAR,VAR,YOK,VAR,YOK,VAR,VAR,5359.0, https://cdn.akakce.com/bosch/bosch-wga252x0tr-a-1200-devir-10-kg-z.jpg
4,Arçelik 10120 M,Arçelik,Orta Kapasite,Orta Devir,YOK,YOK,VAR,YOK,YOK,VAR,VAR,VAR,YOK,YOK,VAR,VAR,4536.99, https://cdn.akakce.com/arcelik/arcelik-10120-m-1200-devir-10-kg-z.jpg
5,Vestel CMI 97202,Vestel,Orta Kapasite,Orta Devir,Standart Boyut,Önemli,VAR,VAR,VAR,VAR,VAR,YOK,VAR,YOK,VAR,VAR,3719.07, https://iis-akakce.akamaized.net/p.z?%2F%2Fproductimages%2Ehepsiburada%2Enet%2Fs%2F116%2F600%2F110000064637180%2Ejpg
6,Arçelik 9100 M,Arçelik,Orta Kapasite,Orta Devir,YOK,Az Önemli,VAR,YOK,YOK,YOK,VAR,VAR,VAR,YOK,VAR,VAR,3937.89, https://cdn.akakce.com/arcelik/arcelik-9100-m-1000-devir-9-kg-z.jpg
7,LG F4R3VYW3WE 9,LG,Orta Kapasite,Yüksek Devir,Standart Boyut,Önemsiz,VAR,YOK,YOK,YOK,VAR,YOK,YOK,VAR,YOK,YOK,4549.0, https://cdn.akakce.com/z/lg/lg-f4r3vyw3we-9-kg-1400-devir.jpg
8,Samsung WW6000T WW10T604DLE1AH,Samsung,Yüksek Kapasite,Yüksek Devir,Standart Boyut,Önemli,YOK,VAR,YOK,VAR,VAR,VAR,YOK,VAR,VAR,VAR,5393.07, https://cdn.akakce.com/samsung/samsung-ww6000t-ww10t604dle1ah-wi-fi-10-5-kg-1400-devir-z.jpg
9,Arçelik 9120 M,Arçelik,Orta Kapasite,Orta Devir,YOK,Az Önemli,VAR,YOK,YOK,YOK,VAR,YOK,VAR,VAR,VAR,VAR,4137.98, https://cdn.akakce.com/arcelik/arcelik-9120-m-9-kg-1200-devir-z.jpg
